,Word,lengths
0,,0
1,冠状病毒病,5
2,体综合症,4
3,胶,1
4,后,1
5,制,1
6,咖,1
7,圈儿,2
8,片,1
9,菜,1
10,货,1
11,机,1
12,型超声,3
13,格,1
14,站,1
15,超,1
16,值,1
17,位,1
18,盘,1
19,罗,1
20,鉴定,2
21,仔,1
22,友,1
23,弦裤,2
24,点,1
25,桥,1
26,剧,1
27,制服,2
28,人,1
29,他命,2
30,房,1
31,书,1
32,歌,1
33,粉,1
34,线,1
35,线图,2
36,金,1
37,照,1
38,巾,1
39,片段,2
40,镜头,2
41,久,1
42,挡,1
43,绷,1
44,镜,1
45,型腿,2
46,部,1
47,文,1
48,图,1
49,民,1
50,扣,1
51,劲,1
52,弹,1
53,卡,1
54,老师,2
55,台,1
56,型台,2
57,字帐,2
58,字裤,2
59,恤,1
60,裇,1
61,主,1
62,手指,2
63,记忆棒,3
64,凸内裤,3
65,型枕,2
66,型池,2
67,形转弯,3
68,盾,1
69,沟,1
70,酱,1
71,光,1
72,姐,1
73,日,1
74,毒,1
75,俊,1
76,罔,1
77,寇,1
78,却,1
79,厨,1
80,参,1
81,以,1
82,哰,1
83,坳,1
84,奸,1
85,宿,1
86,冥,1
87,最,1
88,岸,1
89,岛,1
90,帆,1
91,帽,1
92,廉,1
93,迥,1
94,恩,1
95,惬,1
96,拿,1
97,捷,1
98,晃,1
99,据,1
100,携,1
101,散,1
102,敦,1
103,暖,1
104,橹,1
105,饮,1
106,涎,1
107,法,1
108,深,1
109,涧,1
110,水,1
111,烨,1
112,犬,1
113,狓,1
114,碗,1
115,留,1
116,瘪,1
117,筲,1
118,糊,1
119,蜂,1
120,脉,1
121,卒,1
122,词,1
123,獾,1
124,趟,1
125,射,1
126,鿏,1
127,镰,1
128,飒,1
129,驮,1
130,魂,1
131,鲃,1
132,鲃鱼,2
133,鳚,1
134,鳤,1
135,鹅,1
136,鹮,1
137,鹮嘴鹬,3
138,麸,1
139,衄,1
140,对应,2
141,映射,2
142,丁不识,3
