,Word,lengths
0,آ,1
1,آؤ,2
2,آؤبھگت,6
3,آؤلی,4
4,آؤلیاں,6
5,آؤلے,4
6,آؤٹ,3
7,آؤں,3
8,آئ,2
9,آئبس,4
10,آئتا,4
11,آئر,3
12,آئرلینڈ,7
13,آئرس,4
14,آئرستان,7
15,آئرستانی,8
16,آئرستانیوں,10
17,آئرسز,5
18,آئرش,4
19,آئرشی,5
20,آئرن,4
21,آئرین,5
22,آئزل,4
23,آئزلآفمین,9
24,آئس,3
25,آئسبرگ,6
26,آئسنگ,5
27,آئسکریم,7
28,آئسہ,4
29,آئسیس,5
30,آئش,3
31,آئفونز,6
32,آئل,3
33,آئلہ,4
34,آئلی,4
35,آئمہ,4
36,آئن,3
37,آئنآئند,7
38,آئنساز,6
39,آئند,4
40,آئندگان,7
41,آئنونز,6
42,آئنہ,4
43,آئنی,4
44,آئنے,4
45,آئوٹ,4
46,آئٹم,4
47,آئڈیالوجی,9
48,آئڈیل,5
49,آئڈیلز,6
50,آئڈیلزم,7
51,آئڈیلسٹ,7
52,آئڈیلوں,7
53,آئی,3
54,آئیایایس,8
55,آئیایمایس,9
56,آئیسیایس,8
57,آئیوائی,7
58,آئیٹی,5
59,آئیجان,6
60,آئیدمیر,7
61,آئیدن,5
62,آئیدون,6
63,آئیس,4
64,آئیملک,6
65,آئین,4
66,آئینجہابانی,11
67,آئینجہانبانی,12
68,آئیننو,6
69,آئیند,5
70,آئینوں,6
71,آئینگے,6
72,آئینہ,5
73,آئینہبیں,8
74,آئینہدار,8
75,آئینہداروں,10
76,آئینہدان,8
77,آئینہزار,8
78,آئینہپوش,8
79,آئینہپوشوں,10
80,آئینہگداز,9
81,آئینہگلداز,10
82,آئینہء,6
83,آئینہطبع,8
84,آئینۂ,5
85,آئینی,5
86,آئینیت,6
87,آئینے,5
88,آئیوریکوسٹ,10
89,آئیون,5
90,آئیوڈین,7
91,آئیڈیا,6
92,آئیڈیاز,7
93,آئیڈیالوجی,10
94,آئیڈیل,6
95,آئیڈیلزم,8
96,آئیڈیلسٹ,8
97,آئیکون,6
98,آئیگی,5
99,آئیں,4
100,آئیے,4
101,آئے,3
102,آئےکت,5
103,آئےتن,5
104,آب,2
105,آبآش,4
106,آبآمیز,6
107,آبآہن,5
108,آبایستادہ,9
109,آبایسمتادعہ,11
110,آبباز,5
111,آببازی,6
112,آببرار,6
113,آببرد,5
114,آببردہ,6
115,آبخورا,6
116,آبخوردہ,7
117,آبخیز,5
118,آبدار,5
119,آبداری,6
120,آبدر,4
121,آبدست,5
122,آبدوز,5
123,آبدہاں,6
124,آبدہن,5
125,آبدیاں,6
126,آبدیدہ,6
127,آبرسیدہ,7
128,آبرفتہ,6
129,آبسیاہ,6
130,آبشار,5
131,آبشبینہ,7
132,آبمقطر,6
133,آبنائے,6
134,آبناے,5
135,آبنقرہ,6
136,آبنیساں,7
137,آبنے,4
138,آبواجداد,8
139,آبوباد,6
140,آبوتاب,6
141,آبودانہ,7
142,آبورنگ,6
143,آبوگل,5
144,آبوہوا,6
145,آبپاش,5
146,آبپاشی,6
147,آبپنیر,6
148,آبپیما,6
149,آبچشم,5
150,آبکار,5
151,آبکاری,6
152,آبکش,4
153,آبکشی,5
154,آبکشیدہ,7
155,آبگاہ,5
156,آبگل,4
157,آبگلرنگ,7
158,آبگوں,5
159,آبیاری,6
160,آبیخ,4
161,آبا,3
162,آباؤاجداد,9
163,آباپرستی,8
164,آباء,4
165,آباؤ,4
166,آبائی,5
167,آبائیت,6
168,آباد,4
169,آبادکار,7
170,آبادکاری,8
171,آبادگان,7
172,آبادی,5
173,آبادیاں,7
174,آبادیوں,7
175,آبان,4
176,آباواجداد,9
177,آبتین,5
178,آبرو,4
179,آبروباختہ,9
180,آبرودار,7
181,آبروریختہ,9
182,آبروریزی,8
183,آبروفروش,8
184,آبرومند,7
185,آبرومندانہ,10
186,آبرومندی,8
187,آبروپسند,8
188,آبروکاپاس,9
189,آبروؤ,5
190,آبروؤں,6
191,آبروئی,6
192,آبروئیں,7
193,آبروئے,6
194,آبرہ,4
195,آبس,3
196,آبستن,5
197,آبستنی,6
198,آبستنیاں,8
199,آبستگی,6
200,آبستہ,5
201,آبص,3
202,آبلا,4
203,آبلوس,5
204,آبلوچ,5
205,آبلوں,5
206,آبلہ,4
207,آبلہدار,7
208,آبلہفرسا,8
209,آبلہفرنگ,8
210,آبلہپا,6
211,آبلہءفرنگ,9
212,آبلۂ,4
213,آبلے,4
214,آبنوس,5
215,آبنوسوں,7
216,آبنوسی,6
217,آبنوش,5
218,آبپاری,6
219,آبپاریاں,8
220,آبگینوں,7
221,آبگینہ,6
222,آبگینے,6
223,آبی,3
224,آبیبرج,6
225,آبیبروج,7
226,آبیبگولا,8
227,آبیرسد,6
228,آبیسان,6
229,آبیات,5
230,آبیاتی,6
231,آبیار,5
232,آبیانہ,6
233,آبیدہ,5
234,آبیل,4
235,آبیلوں,6
236,آتا,3
237,آتش,3
238,آتشآمیز,7
239,آتشافراز,8
240,آتشافروز,8
241,آتشافسردہ,9
242,آتشانفعال,9
243,آتشانگیز,8
244,آتشانگیزوں,10
245,آتشبار,6
246,آتشباز,6
247,آتشبازوں,8
248,آدھپا,5
249,آدھپاؤ,6
250,آدھپون,6
251,آدھا,4
252,آدھادانہ,8
253,آدھار,5
254,آدھاکرنا,8
255,آدھو,4
256,آدھوں,5
257,آدھی,4
258,آدھینگاہ,8
259,آدھیاں,6
260,آدھین,5
261,آدھینہ,6
262,آدھیو,5
263,آدھیوں,6
264,آدھیں,5
265,آدھے,4
266,آدیش,4
267,آدینہ,5
268,آذار,4
269,آذاری,5
270,آذر,3
271,آذری,4
272,آذریوں,6
273,آذوقہ,5
274,آذین,4
275,آذینہ,5
276,آر,2
277,آرا,3
278,آراء,4
279,آرائش,5
280,آرائشپسند,9
281,آرائشوں,7
282,آرائشی,6
283,آرائشیں,7
284,آرائندوں,8
285,آرائندہ,7
286,آرائندے,7
287,آرائی,5
288,آرائیاں,7
289,آرائیوں,7
290,آرار,4
291,آرارا,5
292,آراستگی,7
293,آراستہ,6
294,آراستہوپیراستہ,14
295,آراض,4
296,آراضی,5
297,آراضیاں,7
298,آراضین,6
299,آرام,4
300,آرامبخش,7
301,آرامجاں,7
302,آرامدان,7
303,آرامدہ,6
304,آرامرساں,8
305,آراموالی,8
306,آرامپائی,8
307,آرامپال,7
308,آرامگاہ,7
309,آرامگوش,7
310,آرامگیر,7
311,آرامش,5
312,آراموں,6
313,آرامی,5
314,آرامیدہ,7
315,آراکش,5
316,آرایش,5
317,آرب,3
318,آربل,4
319,آربہ,4
320,آرتھر,5
321,آرتھی,5
322,آرتی,4
323,آرتیاں,6
324,آرتیوں,6
325,آرج,3
326,آردر,4
327,آردشیر,6
328,آردین,5
329,آرزم,4
330,آرزو,4
331,آرزوکش,6
332,آرزوؤ,5
333,آرزوؤں,6
334,آرزوئیں,7
335,آرزوئے,6
336,آرس,3
337,آرسہ,4
338,آرسی,4
339,آرسیمصحف,8
340,آرسیاں,6
341,آرسینک,6
342,آرسیوں,6
343,آرلین,5
344,آرمڈ,4
345,آرمی,4
346,آرمیدگان,8
347,آرمیدگی,7
348,آرمیدگیاں,9
349,آرمیدگیوں,9
350,آرمیدہ,6
351,آرمینیا,7
352,آرمیڈا,6
353,آرن,3
354,آرندگان,7
355,آرندہ,5
356,آرنلڈ,5
357,آروغ,4
358,آرولہ,5
359,آروں,4
360,آروین,5
361,آرٹ,3
362,آرٹس,4
363,آرٹسٹ,5
364,آرٹسٹس,6
365,آرٹسٹوں,7
366,آرٹسٹک,6
367,آرٹوں,5
368,آرٹکل,5
369,آرٹیکل,6
370,آرٹیکلز,7
371,آرٹیکلوں,8
372,آرپار,5
373,آرپن,4
374,آرچ,3
375,آرڈر,4
376,آرڈرز,5
377,آرڈروں,6
378,آرڈنری,6
379,آرڈیننس,7
380,آرڈیننسز,8
381,آرڈیننسوں,9
382,آرکلیمپآرک,10
383,آرکسٹرا,7
384,آرکسٹراز,8
385,آرکسٹروں,8
386,آرکی,4
387,آرکیٹیکٹ,8
388,آرکیٹیکٹس,9
389,آرکیٹیکٹوں,10
390,آرکیالوجسٹ,10
391,آرکیالوجسٹس,11
392,آرکیالوجسٹوں,12
393,آرکیالوجی,9
394,آرکیالوجیکل,11
395,آرکین,5
396,آرکیڈ,5
397,آرگ,3
398,آرگن,4
399,آرگنائزیشن,10
400,آرگنائزیشنز,11
401,آرگنائزیشنوں,12
402,آرگنائزیشنیں,12
403,آرگنائیزر,9
404,آرگنائیزرز,10
405,آرگنائیزروں,11
406,آرگنائیزیشن,11
407,آرہ,3
408,آرہنما,6
409,آرہا,4
410,آرہی,4
411,آرہے,4
412,آری,3
413,آریا,4
414,آریاؤ,5
415,آریاؤں,6
416,آریائی,6
417,آریاوی,6
418,آریاں,5
419,آریز,4
420,آریلہ,5
421,آریوں,5
422,آریں,4
423,آریہ,4
424,آریہورت,7
425,آرے,3
426,آز,2
427,آزاد,4
428,آزادرو,6
429,آزادطبع,7
430,آزادمنش,7
431,آزادوار,7
432,آزادوضع,7
433,آزادانہ,7
434,آزادنامہ,8
435,آزادوں,6
436,آزادکشمیر,9
437,آزادگان,7
438,آزادگی,6
439,آزادگیاں,8
440,آزادہ,5
441,آزادہرو,7
442,آزادی,5
443,آزادینامہ,9
444,آزادیاں,7
445,آزادیوں,7
446,آزار,4
447,آزاردہ,6
448,آزاردہندہ,9
449,آزاروں,6
450,آزاری,5
451,آزاریاں,7
452,آزاریوں,7
453,آزاریں,6
454,آزالہ,5
455,آزبن,4
456,آزبک,4
457,آزر,3
458,آزربائیجان,10
459,آزردگان,7
460,آزردگاں,7
461,آزردگی,6
462,آزردگیاں,8
463,آزردگیوں,8
464,آزردہ,5
465,آزرم,4
466,آزرمیں,6
467,آزری,4
468,آزف,3
469,آزفہ,4
470,آزلہ,4
471,آزما,4
472,آزماؤ,5
473,آزماؤں,6
474,آزمائش,6
475,آزمائشو,7
476,آزمائشوں,8
